date,p,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE,dividend growth,dividend yield,u
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,89.8,4.86,7.44,NA,0.548,0.054176955,5.99
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,90.16,4.93,7.48,NA,0.557,0.054651639,6.07
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,91.74,4.91,7.42,NA,0.534,0.053571429,6.14
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,92.24,4.87,7.3,NA,0.528,0.052760618,6.22
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,92.24,4.93,7.35,NA,0.537,0.053416988,6.3
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,92.02,5.02,7.44,NA,0.515,0.054580897,6.37
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,92.83,5.16,7.6,NA,0.509,0.05554902,6.45
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,91.07,5.18,7.59,NA,0.518,0.056884921,6.52
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,88.79,5.2,7.58,NA,0.497,0.058585859,6.6
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,91.14,5.38,7.79,NA,0.491,0.059014085,6.67
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,88.14,5.28,7.61,NA,0.501,0.059939394,6.75
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,91.61,5.42,7.77,NA,0.48,0.059171598,6.83
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,92.33,5.47,7.81,NA,0.36,0.059197652,6.88
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,91.05,5.39,7.69,NA,0.357,0.059223301,6.94
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,90.34,5.44,7.73,NA,0.355,0.060176125,7
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,89.1,5.48,7.78,NA,0.352,0.061507937,7.05
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,91.25,5.65,8,NA,0.349,0.061881188,7.11
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,92.71,5.86,8.28,NA,0.346,0.063253012,7.17
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,92.52,5.91,8.33,NA,0.343,0.0638833,7.22
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,92.52,5.96,8.38,NA,0.341,0.064386318,7.28
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,85.45,6,8.42,NA,0.338,0.070261438,7.34
1873.1,4.19,0.33,0.46,12.27,1873.79,5.5,79.82,6.19,8.67,NA,0.335,0.077565632,7.39
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,79.42,6.44,8.99,NA,0.333,0.081064356,7.45
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,84.86,6.34,8.83,NA,0.33,0.074660633,7.51
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,88.09,6.24,8.7,NA,0,0.070815451,7.51
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,90.73,6.24,8.7,NA,0,0.06875,7.51
1874.03,4.73,0.33,0.46,12.37,1874.21,5.4,89.41,6.24,8.7,NA,0,0.069767442,7.51
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,88.31,6.34,8.83,NA,0,0.07173913,7.51
